id,clientid,pid,pnme,value,trsdate,value2
550793,test001,TEC-AC,Accessories,6335.0465,9/1/2019,6335.0465
551471,test001,TEC-AC,Accessories,3317.1264,10/1/2019,3317.1264
551201,test001,TEC-AC,Accessories,7612.6008,11/1/2019,7612.6008
551421,test001,TEC-AC,Accessories,7721.6437,12/1/2019,7721.6437
551094,test001,TEC-AC,Accessories,4039.229,1/1/2020,4039.229
550863,test001,TEC-AC,Accessories,5542.509,2/1/2020,5542.509
551329,test001,TEC-AC,Accessories,7281.4308,3/1/2020,7281.4308
550944,test001,TEC-AC,Accessories,3782.3148,4/1/2020,3782.3148
551464,test001,TEC-AC,Accessories,6965.78,5/1/2020,6965.78
551006,test001,TEC-AC,Accessories,8977.4506,6/1/2020,8977.4506
550957,test001,TEC-AC,Accessories,14418.644,7/1/2020,14418.644
550869,test001,TEC-AC,Accessories,13978.4102,8/1/2020,13978.4102
551249,test001,TEC-AC,Accessories,14129.4792,9/1/2020,14129.4792
551832,test001,TEC-AC,Accessories,7535.16651,10/1/2020,-2133.525169
551833,test001,TEC-AC,Accessories,7546.827407,11/1/2020,-2133.525169
551834,test001,TEC-AC,Accessories,8813.068261,12/1/2020,-1812.918793
551835,test001,TEC-AC,Accessories,6923.342758,1/1/2021,-2387.326711
551836,test001,TEC-AC,Accessories,7418.803312,2/1/2021,-2269.046564
551837,test001,TEC-AC,Accessories,7405.422551,3/1/2021,-2298.596864
551838,test001,TEC-AC,Accessories,6748.809474,4/1/2021,-2435.332035
551839,test001,TEC-AC,Accessories,6939.587993,5/1/2021,-2438.380217
551840,test001,TEC-AC,Accessories,7060.143273,6/1/2021,-2436.576547
551841,test001,TEC-AC,Accessories,7386.222799,7/1/2021,-2435.914119
551842,test001,TEC-AC,Accessories,7359.840493,8/1/2021,-2437.193457
551843,test001,TEC-AC,Accessories,7368.893747,9/1/2021,-2436.882179
551844,test001,TEC-AC,Accessories,7425.277181,10/1/2021,-2436.619206
551845,test001,TEC-AC,Accessories,7426.674808,11/1/2021,-2436.619206
551846,test001,TEC-AC,Accessories,8639.951758,12/1/2021,-454.8822208
551847,test001,TEC-AC,Accessories,8301.895423,1/1/2022,-4005.42114
551848,test001,TEC-AC,Accessories,8714.82181,2/1/2022,-3274.306099
551849,test001,TEC-AC,Accessories,9122.178986,3/1/2022,-3456.962865
551850,test001,TEC-AC,Accessories,8220.555307,4/1/2022,-4302.152375
551851,test001,TEC-AC,Accessories,8992.11098,5/1/2022,-4320.993839
551852,test001,TEC-AC,Accessories,9479.666447,6/1/2022,-4309.844966
551853,test001,TEC-AC,Accessories,10798.41296,7/1/2022,-4305.750358
551854,test001,TEC-AC,Accessories,10691.71637,8/1/2022,-4313.658225
551855,test001,TEC-AC,Accessories,10728.32998,9/1/2022,-4311.734149
551282,test001,OFF-AP,Appliances,296.951,1/1/2017,296.951
550960,test001,OFF-AP,Appliances,85.424,2/1/2017,85.424
551308,test001,OFF-AP,Appliances,624.9689,3/1/2017,624.9689
551276,test001,OFF-AP,Appliances,383.6252,4/1/2017,383.6252
551376,test001,OFF-AP,Appliances,2338.1685,5/1/2017,2338.1685
550851,test001,OFF-AP,Appliances,671.1522,6/1/2017,671.1522
551054,test001,OFF-AP,Appliances,137.427,7/1/2017,137.427
551128,test001,OFF-AP,Appliances,1951.04635,8/1/2017,1951.04635
551400,test001,OFF-AP,Appliances,2273.6958,9/1/2017,2273.6958
550996,test001,OFF-AP,Appliances,988.8094,10/1/2017,988.8094
551340,test001,OFF-AP,Appliances,1924.8577,11/1/2017,1924.8577
551024,test001,OFF-AP,Appliances,2871.8177,12/1/2017,2871.8177
551154,test001,OFF-AP,Appliances,238.26,1/1/2018,238.26
551077,test001,OFF-AP,Appliances,543.2784,2/1/2018,543.2784
551452,test001,OFF-AP,Appliances,1262.8578,3/1/2018,1262.8578
550825,test001,OFF-AP,Appliances,4107.2604,4/1/2018,4107.2604
551399,test001,OFF-AP,Appliances,2006.3753,5/1/2018,2006.3753
550791,test001,OFF-AP,Appliances,167.1164,6/1/2018,167.1164
551335,test001,OFF-AP,Appliances,111.6934,7/1/2018,111.6934
551252,test001,OFF-AP,Appliances,955.225,8/1/2018,955.225
550847,test001,OFF-AP,Appliances,2057.4454,9/1/2018,2057.4454
550903,test001,OFF-AP,Appliances,2495.20065,10/1/2018,2495.20065
551214,test001,OFF-AP,Appliances,6093.5337,11/1/2018,6093.5337
551508,test001,OFF-AP,Appliances,2040.9781,12/1/2018,2040.9781
550963,test001,OFF-AP,Appliances,61.6208,1/1/2019,61.6208
551411,test001,OFF-AP,Appliances,715.6008,2/1/2019,715.6008
551334,test001,OFF-AP,Appliances,2362.1864,3/1/2019,2362.1864
551050,test001,OFF-AP,Appliances,454.3584,4/1/2019,454.3584
551455,test001,OFF-AP,Appliances,1821.7846,5/1/2019,1821.7846
551300,test001,OFF-AP,Appliances,1806.2939,6/1/2019,1806.2939
551436,test001,OFF-AP,Appliances,2305.2282,7/1/2019,2305.2282
551047,test001,OFF-AP,Appliances,3026.282,8/1/2019,3026.282
551009,test001,OFF-AP,Appliances,2042.1884,9/1/2019,2042.1884
550883,test001,OFF-AP,Appliances,2808.6465,10/1/2019,2808.6465
551275,test001,OFF-AP,Appliances,5696.4014,11/1/2019,5696.4014
551117,test001,OFF-AP,Appliances,1989.25155,12/1/2019,1989.25155
551511,test001,OFF-AP,Appliances,4812.2744,1/1/2020,4812.2744
551512,test001,OFF-AP,Appliances,6690.8158,2/1/2020,6690.8158
551102,test001,OFF-AP,Appliances,4739.4018,3/1/2020,4739.4018
551451,test001,OFF-AP,Appliances,1186.2802,4/1/2020,1186.2802
550828,test001,OFF-AP,Appliances,9500.7448,5/1/2020,9500.7448
550951,test001,OFF-AP,Appliances,1400.3836,6/1/2020,1400.3836
550838,test001,OFF-AP,Appliances,2300.0678,7/1/2020,2300.0678
551432,test001,OFF-AP,Appliances,14213.6986,8/1/2020,14213.6986
551345,test001,OFF-AP,Appliances,5611.2928,9/1/2020,5611.2928
551616,test001,OFF-AP,Appliances,3238.55754,10/1/2020,992.6294467
551617,test001,OFF-AP,Appliances,3464.392823,11/1/2020,1293.431388
551618,test001,OFF-AP,Appliances,3785.076344,12/1/2020,2670.187333
551619,test001,OFF-AP,Appliances,3900.73394,1/1/2021,476.5047875
551620,test001,OFF-AP,Appliances,4196.828545,2/1/2021,366.8298763
551621,test001,OFF-AP,Appliances,4121.840359,3/1/2021,1128.365462
551622,test001,OFF-AP,Appliances,3349.55283,4/1/2021,570.0490702
551623,test001,OFF-AP,Appliances,4881.285589,5/1/2021,702.5520774
551624,test001,OFF-AP,Appliances,3428.637464,6/1/2021,499.2837394
551625,test001,OFF-AP,Appliances,3478.927224,7/1/2021,161.1643806
551626,test001,OFF-AP,Appliances,5527.578581,8/1/2021,631.0065552
551627,test001,OFF-AP,Appliances,4344.928846,9/1/2021,1087.538544
551628,test001,OFF-AP,Appliances,4252.06619,10/1/2021,609.4250709
551629,test001,OFF-AP,Appliances,4477.901473,11/1/2021,690.7976183
551630,test001,OFF-AP,Appliances,4798.584993,12/1/2021,1063.138718
551631,test001,OFF-AP,Appliances,4914.24259,1/1/2022,455.4987224
551632,test001,OFF-AP,Appliances,5210.337195,2/1/2022,426.1107966
551633,test001,OFF-AP,Appliances,5135.349008,3/1/2022,638.3674554
551634,test001,OFF-AP,Appliances,4363.061479,4/1/2022,493.2237095
551635,test001,OFF-AP,Appliances,5894.794238,5/1/2022,541.3243297
551636,test001,OFF-AP,Appliances,4442.146114,6/1/2022,475.9382003
551637,test001,OFF-AP,Appliances,4492.435873,7/1/2022,366.5866436
551638,test001,OFF-AP,Appliances,6541.087231,8/1/2022,516.6179848
551639,test001,OFF-AP,Appliances,5358.437496,9/1/2022,661.2737128
550974,test001,OFF-AR,Art,168.1405,1/1/2017,168.1405
551126,test001,OFF-AR,Art,69.9808,2/1/2017,69.9808
551373,test001,OFF-AR,Art,392.6046,3/1/2017,392.6046
551228,test001,OFF-AR,Art,539.5202,4/1/2017,539.5202
551143,test001,OFF-AR,Art,556.681,5/1/2017,556.681
550908,test001,OFF-AR,Art,374.2354,6/1/2017,374.2354
551323,test001,OFF-AR,Art,237.937,7/1/2017,237.937
551132,test001,OFF-AR,Art,319.7624,8/1/2017,319.7624
551456,test001,OFF-AR,Art,595.5835,9/1/2017,595.5835
551104,test001,OFF-AR,Art,581.9833,10/1/2017,581.9833
551434,test001,OFF-AR,Art,586.7504,11/1/2017,586.7504
551049,test001,OFF-AR,Art,1341.2518,12/1/2017,1341.2518
551134,test001,OFF-AR,Art,132.5288,1/1/2018,132.5288
551289,test001,OFF-AR,Art,454.8049,2/1/2018,454.8049
551337,test001,OFF-AR,Art,68.5026,3/1/2018,68.5026
551199,test001,OFF-AR,Art,617.4411,4/1/2018,617.4411
551152,test001,OFF-AR,Art,497.4352,5/1/2018,497.4352
551194,test001,OFF-AR,Art,374.6021,6/1/2018,374.6021
550938,test001,OFF-AR,Art,228.7904,7/1/2018,228.7904
551353,test001,OFF-AR,Art,375.6471,8/1/2018,375.6471
550980,test001,OFF-AR,Art,1064.5396,9/1/2018,1064.5396
551158,test001,OFF-AR,Art,267.0735,10/1/2018,267.0735
550900,test001,OFF-AR,Art,984.4983,11/1/2018,984.4983
551082,test001,OFF-AR,Art,849.7807,12/1/2018,849.7807
550902,test001,OFF-AR,Art,146.0207,1/1/2019,146.0207
551034,test001,OFF-AR,Art,364.1008,2/1/2019,364.1008
551280,test001,OFF-AR,Art,722.7467,3/1/2019,722.7467
551146,test001,OFF-AR,Art,287.9602,4/1/2019,287.9602
551386,test001,OFF-AR,Art,565.3754,5/1/2019,565.3754
551064,test001,OFF-AR,Art,112.2577,6/1/2019,112.2577
551030,test001,OFF-AR,Art,673.5025,7/1/2019,673.5025
551118,test001,OFF-AR,Art,345.2623,8/1/2019,345.2623
550850,test001,OFF-AR,Art,786.8698,9/1/2019,786.8698
551475,test001,OFF-AR,Art,401.9127,10/1/2019,401.9127
551312,test001,OFF-AR,Art,906.7427,11/1/2019,906.7427
550811,test001,OFF-AR,Art,553.0919,12/1/2019,553.0919
551184,test001,OFF-AR,Art,801.0286,1/1/2020,801.0286
550941,test001,OFF-AR,Art,583.0188,2/1/2020,583.0188
550926,test001,OFF-AR,Art,747.9996,3/1/2020,747.9996
551357,test001,OFF-AR,Art,1266.7186,4/1/2020,1266.7186
551295,test001,OFF-AR,Art,1102.9082,5/1/2020,1102.9082
551428,test001,OFF-AR,Art,1936.29,6/1/2020,1936.29
551251,test001,OFF-AR,Art,1646.9922,7/1/2020,1646.9922
550831,test001,OFF-AR,Art,1490.417,8/1/2020,1490.417
550897,test001,OFF-AR,Art,1758.9744,9/1/2020,1758.9744
551640,test001,OFF-AR,Art,815.3192915,10/1/2020,-794.1460224
551641,test001,OFF-AR,Art,845.9832798,11/1/2020,-797.0682617
551642,test001,OFF-AR,Art,1022.211446,12/1/2020,-1126.761983
551643,test001,OFF-AR,Art,1238.846599,1/1/2021,-912.5591543
551644,test001,OFF-AR,Art,1126.495429,2/1/2021,-513.351211
551645,test001,OFF-AR,Art,1210.584915,3/1/2021,-933.7030909
551646,test001,OFF-AR,Art,1469.180258,4/1/2021,-936.4785646
551647,test001,OFF-AR,Art,1387.640226,5/1/2021,-933.0584115
551648,test001,OFF-AR,Art,1804.156623,6/1/2021,-934.4908859
551649,test001,OFF-AR,Art,1659.591113,7/1/2021,-933.8909177
551650,test001,OFF-AR,Art,1581.263663,8/1/2021,-934.1422045
551651,test001,OFF-AR,Art,1715.561406,9/1/2021,-934.0369572
551652,test001,OFF-AR,Art,1651.384398,10/1/2021,-989.9617251
551653,test001,OFF-AR,Art,1682.052735,11/1/2021,-991.9950395
551654,test001,OFF-AR,Art,1858.278823,12/1/2021,-1046.322664
551655,test001,OFF-AR,Art,2074.914968,1/1/2022,-1591.621837
551656,test001,OFF-AR,Art,1962.563324,2/1/2022,-527.2119205
551657,test001,OFF-AR,Art,2046.653036,3/1/2022,-1690.209291
551658,test001,OFF-AR,Art,2305.248271,4/1/2022,-1746.883973
551659,test001,OFF-AR,Art,2223.708292,5/1/2022,-1739.99585
551660,test001,OFF-AR,Art,2640.224663,6/1/2022,-1742.880826
551661,test001,OFF-AR,Art,2495.659165,7/1/2022,-1741.672502
551662,test001,OFF-AR,Art,2417.33171,8/1/2022,-1742.178589
551663,test001,OFF-AR,Art,2551.629456,9/1/2022,-1741.966623
550836,test001,OFF-BI,Binders,791.2018,1/1/2017,791.2018
551487,test001,OFF-BI,Binders,304.8797,2/1/2017,304.8797
551472,test001,OFF-BI,Binders,1471.55285,3/1/2017,1471.55285
551480,test001,OFF-BI,Binders,914.3028,4/1/2017,914.3028
551236,test001,OFF-BI,Binders,4385.3444,5/1/2017,4385.3444
551103,test001,OFF-BI,Binders,3854.19655,6/1/2017,3854.19655
551439,test001,OFF-BI,Binders,2808.048,7/1/2017,2808.048
551454,test001,OFF-BI,Binders,5724.99165,8/1/2017,5724.99165
550816,test001,OFF-BI,Binders,10376.1318,9/1/2017,10376.1318
551450,test001,OFF-BI,Binders,498.7101,10/1/2017,498.7101
551160,test001,OFF-BI,Binders,6026.9767,11/1/2017,6026.9767
551037,test001,OFF-BI,Binders,4157.5154,12/1/2017,4157.5154
551174,test001,OFF-BI,Binders,196.2453,1/1/2018,196.2453
551221,test001,OFF-BI,Binders,2591.59525,2/1/2018,2591.59525
550819,test001,OFF-BI,Binders,7926.83135,3/1/2018,7926.83135
551374,test001,OFF-BI,Binders,4487.2756,4/1/2018,4487.2756
551384,test001,OFF-BI,Binders,1035.1846,5/1/2018,1035.1846
551012,test001,OFF-BI,Binders,5128.81535,6/1/2018,5128.81535
550884,test001,OFF-BI,Binders,1138.83245,7/1/2018,1138.83245
551017,test001,OFF-BI,Binders,2246.4403,8/1/2018,2246.4403
550952,test001,OFF-BI,Binders,2773.29605,9/1/2018,2773.29605
551139,test001,OFF-BI,Binders,694.55355,10/1/2018,694.55355
550813,test001,OFF-BI,Binders,2903.1924,11/1/2018,2903.1924
551462,test001,OFF-BI,Binders,4458.1809,12/1/2018,4458.1809
551431,test001,OFF-BI,Binders,1703.0612,1/1/2019,1703.0612
551080,test001,OFF-BI,Binders,537.0559,2/1/2019,537.0559
551058,test001,OFF-BI,Binders,1141.82305,3/1/2019,1141.82305
551021,test001,OFF-BI,Binders,2591.55915,4/1/2019,2591.55915
550835,test001,OFF-BI,Binders,1105.1711,5/1/2019,1105.1711
551336,test001,OFF-BI,Binders,811.0093,6/1/2019,811.0093
551393,test001,OFF-BI,Binders,1786.8911,7/1/2019,1786.8911
551491,test001,OFF-BI,Binders,5231.0002,8/1/2019,5231.0002
550987,test001,OFF-BI,Binders,4889.6614,9/1/2019,4889.6614
551367,test001,OFF-BI,Binders,6355.0136,10/1/2019,6355.0136
551267,test001,OFF-BI,Binders,4766.6041,11/1/2019,4766.6041
550832,test001,OFF-BI,Binders,28225.1517,12/1/2019,28225.1517
551162,test001,OFF-BI,Binders,17884.7095,1/1/2020,17884.7095
550953,test001,OFF-BI,Binders,1454.7844,2/1/2020,1454.7844
551070,test001,OFF-BI,Binders,5259.6066,3/1/2020,5259.6066
550893,test001,OFF-BI,Binders,9108.2865,4/1/2020,9108.2865
551193,test001,OFF-BI,Binders,5707.0338,5/1/2020,5707.0338
551039,test001,OFF-BI,Binders,4801.6515,6/1/2020,4801.6515
551488,test001,OFF-BI,Binders,4467.3978,7/1/2020,4467.3978
551461,test001,OFF-BI,Binders,27763.294,8/1/2020,27763.294
551519,test001,OFF-BI,Binders,19964.0733,9/1/2020,19964.0733
551664,test001,OFF-BI,Binders,7220.520771,10/1/2020,7220.520771
551665,test001,OFF-BI,Binders,8247.161808,11/1/2020,8247.161808
551666,test001,OFF-BI,Binders,12656.95419,12/1/2020,12656.95419
551667,test001,OFF-BI,Binders,10926.67633,1/1/2021,10926.67633
551668,test001,OFF-BI,Binders,8049.310291,2/1/2021,8049.310291
551669,test001,OFF-BI,Binders,9781.334966,3/1/2021,9781.334966
551670,test001,OFF-BI,Binders,9196.150335,4/1/2021,9196.150335
551671,test001,OFF-BI,Binders,8926.957624,5/1/2021,8926.957624
551672,test001,OFF-BI,Binders,8693.988194,6/1/2021,8693.988194
551673,test001,OFF-BI,Binders,8517.364652,7/1/2021,8517.364652
551674,test001,OFF-BI,Binders,13403.07869,8/1/2021,13403.07869
551675,test001,OFF-BI,Binders,12411.44892,9/1/2021,12411.44892
551676,test001,OFF-BI,Binders,10214.22189,10/1/2021,10214.22189
551677,test001,OFF-BI,Binders,11240.86293,11/1/2021,11240.86293
551678,test001,OFF-BI,Binders,15650.65531,12/1/2021,15650.65531
551679,test001,OFF-BI,Binders,13920.37745,1/1/2022,13920.37745
551680,test001,OFF-BI,Binders,11043.01141,2/1/2022,11043.01141
551681,test001,OFF-BI,Binders,12775.03608,3/1/2022,12775.03608
551682,test001,OFF-BI,Binders,12189.85145,4/1/2022,12189.85145
551683,test001,OFF-BI,Binders,11920.65874,5/1/2022,11920.65874
551684,test001,OFF-BI,Binders,11687.68931,6/1/2022,11687.68931
551685,test001,OFF-BI,Binders,11511.06577,7/1/2022,11511.06577
551686,test001,OFF-BI,Binders,16396.77981,8/1/2022,16396.77981
551687,test001,OFF-BI,Binders,15405.15004,9/1/2022,15405.15004
551131,test001,FUR-BO,Bookcases,959.55225,1/1/2017,959.55225
551229,test001,FUR-BO,Bookcases,1621.1237,3/1/2017,1621.1237
551200,test001,FUR-BO,Bookcases,293.07405,4/1/2017,293.07405
550856,test001,FUR-BO,Bookcases,608.59945,5/1/2017,608.59945
551171,test001,FUR-BO,Bookcases,721.59492,6/1/2017,721.59492
551388,test001,FUR-BO,Bookcases,1413.28935,7/1/2017,1413.28935
550991,test001,FUR-BO,Bookcases,754.5622,8/1/2017,754.5622
551346,test001,FUR-BO,Bookcases,2274.74631,9/1/2017,2274.74631
550931,test001,FUR-BO,Bookcases,586.1481,10/1/2017,586.1481
551440,test001,FUR-BO,Bookcases,7740.252015,11/1/2017,7740.252015
551303,test001,FUR-BO,Bookcases,2491.728875,12/1/2017,2491.728875
551369,test001,FUR-BO,Bookcases,1284.77772,1/1/2018,1284.77772
551112,test001,FUR-BO,Bookcases,1436.32248,2/1/2018,1436.32248
551179,test001,FUR-BO,Bookcases,1327.55242,3/1/2018,1327.55242
551413,test001,FUR-BO,Bookcases,831.9245,4/1/2018,831.9245
550824,test001,FUR-BO,Bookcases,1820.976625,5/1/2018,1820.976625
551204,test001,FUR-BO,Bookcases,458.793,6/1/2018,458.793
550785,test001,FUR-BO,Bookcases,2717.3648,7/1/2018,2717.3648
551210,test001,FUR-BO,Bookcases,3614.71599,8/1/2018,3614.71599
551494,test001,FUR-BO,Bookcases,10150.94855,9/1/2018,10150.94855
551036,test001,FUR-BO,Bookcases,2551.9565,10/1/2018,2551.9565
551320,test001,FUR-BO,Bookcases,7471.6037,11/1/2018,7471.6037
551351,test001,FUR-BO,Bookcases,2684.87309,12/1/2018,2684.87309
550827,test001,FUR-BO,Bookcases,1962.3162,1/1/2019,1962.3162
551176,test001,FUR-BO,Bookcases,227.981,2/1/2019,227.981
551149,test001,FUR-BO,Bookcases,1037.26225,3/1/2019,1037.26225
550972,test001,FUR-BO,Bookcases,1479.8796,4/1/2019,1479.8796
551278,test001,FUR-BO,Bookcases,2466.24085,6/1/2019,2466.24085
550792,test001,FUR-BO,Bookcases,2413.61845,7/1/2019,2413.61845
550918,test001,FUR-BO,Bookcases,534.10216,8/1/2019,534.10216
550805,test001,FUR-BO,Bookcases,6324.146105,9/1/2019,6324.146105
551091,test001,FUR-BO,Bookcases,1307.6256,10/1/2019,1307.6256
551490,test001,FUR-BO,Bookcases,5507.41106,11/1/2019,5507.41106
551433,test001,FUR-BO,Bookcases,1670.1703,12/1/2019,1670.1703
550783,test001,FUR-BO,Bookcases,566.048,1/1/2020,566.048
551468,test001,FUR-BO,Bookcases,2978.59846,2/1/2020,2978.59846
551165,test001,FUR-BO,Bookcases,3740.90392,3/1/2020,3740.90392
551354,test001,FUR-BO,Bookcases,3439.36404,4/1/2020,3439.36404
551263,test001,FUR-BO,Bookcases,6493.78428,5/1/2020,6493.78428
550913,test001,FUR-BO,Bookcases,10087.23813,6/1/2020,10087.23813
550865,test001,FUR-BO,Bookcases,3230.5225,7/1/2020,3230.5225
551271,test001,FUR-BO,Bookcases,874.1748,8/1/2020,874.1748
550837,test001,FUR-BO,Bookcases,6908.1264,9/1/2020,6908.1264
551520,test001,FUR-BO,Bookcases,1813.651407,10/1/2020,914.9749704
551521,test001,FUR-BO,Bookcases,6690.827268,11/1/2020,5219.886376
551522,test001,FUR-BO,Bookcases,3146.539673,12/1/2020,2088.028685
551523,test001,FUR-BO,Bookcases,2361.145566,1/1/2021,1390.979875
551524,test001,FUR-BO,Bookcases,2767.990068,2/1/2021,1719.191637
551525,test001,FUR-BO,Bookcases,2789.746535,3/1/2021,1728.633083
551526,test001,FUR-BO,Bookcases,1846.774804,4/1/2021,900.1667123
551527,test001,FUR-BO,Bookcases,2231.062476,5/1/2021,-44.14624883
551528,test001,FUR-BO,Bookcases,2683.167919,6/1/2021,18.34786841
551529,test001,FUR-BO,Bookcases,1820.499693,7/1/2021,879.6490598
551530,test001,FUR-BO,Bookcases,1524.039055,8/1/2021,648.1495056
551531,test001,FUR-BO,Bookcases,2283.192359,9/1/2021,1240.955527
551532,test001,FUR-BO,Bookcases,1870.420061,10/1/2021,742.0497051
551533,test001,FUR-BO,Bookcases,3097.650378,11/1/2021,1587.922384
551534,test001,FUR-BO,Bookcases,2214.761249,12/1/2021,999.641563
551535,test001,FUR-BO,Bookcases,2027.045667,1/1/2022,892.6856536
551536,test001,FUR-BO,Bookcases,2209.806884,2/1/2022,1200.565851
551537,test001,FUR-BO,Bookcases,2240.682014,3/1/2022,1279.326084
551538,test001,FUR-BO,Bookcases,1993.357094,4/1/2022,1086.119795
551539,test001,FUR-BO,Bookcases,2191.829998,5/1/2022,-69.11450005
551540,test001,FUR-BO,Bookcases,2425.32872,6/1/2022,7.338276136
551541,test001,FUR-BO,Bookcases,1979.786798,7/1/2022,1061.019328
551542,test001,FUR-BO,Bookcases,1826.673888,8/1/2022,777.8121341
551543,test001,FUR-BO,Bookcases,2218.753498,9/1/2022,1503.027051
550894,test001,FUR-CH,Chairs,3978.315,1/1/2017,3978.315
550921,test001,FUR-CH,Chairs,1562.1724,2/1/2017,1562.1724
550898,test001,FUR-CH,Chairs,4046.2476,3/1/2017,4046.2476
551430,test001,FUR-CH,Chairs,3050.1327,4/1/2017,3050.1327
551048,test001,FUR-CH,Chairs,5393.12055,5/1/2017,5393.12055
551043,test001,FUR-CH,Chairs,4231.43395,6/1/2017,4231.43395
551389,test001,FUR-CH,Chairs,6046.693,7/1/2017,6046.693
551327,test001,FUR-CH,Chairs,2460.7299,8/1/2017,2460.7299
550993,test001,FUR-CH,Chairs,13156.72575,9/1/2017,13156.72575
551355,test001,FUR-CH,Chairs,6162.27475,10/1/2017,6162.27475
551253,test001,FUR-CH,Chairs,11318.3114,11/1/2017,11318.3114
551466,test001,FUR-CH,Chairs,11973.3402,12/1/2017,11973.3402
551038,test001,FUR-CH,Chairs,3084.4543,1/1/2018,3084.4543
550892,test001,FUR-CH,Chairs,2184.6561,2/1/2018,2184.6561
550784,test001,FUR-CH,Chairs,3705.45695,3/1/2018,3705.45695
550923,test001,FUR-CH,Chairs,4058.03995,4/1/2018,4058.03995
551218,test001,FUR-CH,Chairs,5397.83635,5/1/2018,5397.83635
550818,test001,FUR-CH,Chairs,4492.0047,6/1/2018,4492.0047
551299,test001,FUR-CH,Chairs,6302.30285,7/1/2018,6302.30285
551120,test001,FUR-CH,Chairs,1319.3353,8/1/2018,1319.3353
551078,test001,FUR-CH,Chairs,8986.2248,9/1/2018,8986.2248
551130,test001,FUR-CH,Chairs,9848.9787,10/1/2018,9848.9787
550881,test001,FUR-CH,Chairs,13451.9392,11/1/2018,13451.9392
551366,test001,FUR-CH,Chairs,5316.57335,12/1/2018,5316.57335
550814,test001,FUR-CH,Chairs,1522.1128,1/1/2019,1522.1128
551092,test001,FUR-CH,Chairs,1639.1908,2/1/2019,1639.1908
550797,test001,FUR-CH,Chairs,6971.6035,3/1/2019,6971.6035
551284,test001,FUR-CH,Chairs,7246.144,4/1/2019,7246.144
551385,test001,FUR-CH,Chairs,7029.50315,5/1/2019,7029.50315
551423,test001,FUR-CH,Chairs,2503.022,6/1/2019,2503.022
551418,test001,FUR-CH,Chairs,5099.6969,7/1/2019,5099.6969
551427,test001,FUR-CH,Chairs,4646.9573,8/1/2019,4646.9573
550860,test001,FUR-CH,Chairs,10916.7236,9/1/2019,10916.7236
551481,test001,FUR-CH,Chairs,5430.22945,10/1/2019,5430.22945
551486,test001,FUR-CH,Chairs,13709.62005,11/1/2019,13709.62005
550867,test001,FUR-CH,Chairs,20124.8019,12/1/2019,20124.8019
551429,test001,FUR-CH,Chairs,3681.6433,1/1/2020,3681.6433
551492,test001,FUR-CH,Chairs,6749.0508,2/1/2020,6749.0508
551157,test001,FUR-CH,Chairs,10912.2054,3/1/2020,10912.2054
551187,test001,FUR-CH,Chairs,8901.2226,4/1/2020,8901.2226
551285,test001,FUR-CH,Chairs,15692.6149,5/1/2020,15692.6149
551499,test001,FUR-CH,Chairs,12480.7922,6/1/2020,12480.7922
